"1:nrow(y_train)","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","ocean_proximity"
95,-120.97,38.65,9,3707,602,1601,555,4.0714,"INLAND"
96,-118.26,34,37,2615,697,2484,630,1.9208,"<1H OCEAN"
97,-122.05,37.38,23,3200,907,2029,866,3.5649,"<1H OCEAN"
98,-117.27,34.23,26,6339,1244,1177,466,3.7708,"INLAND"
99,-121.96,37,20,3847,727,1725,737,3.3447,"NEAR OCEAN"
100,-122.17,37.43,24,3924,1142,7174,950,4.0972,"NEAR OCEAN"
101,-118.23,34.09,41,438,201,690,161,2.0476,"<1H OCEAN"
102,-117.13,32.8,33,2731,456,1263,445,4.5568,"NEAR OCEAN"
103,-118.35,33.89,25,1769,440,1371,414,3.0833,"<1H OCEAN"
104,-123.84,39.83,19,1461,340,515,227,1.5278,"NEAR OCEAN"
105,-122.43,37.76,52,2250,566,1051,562,2.8458,"NEAR BAY"
106,-118.15,34.04,33,818,195,664,198,2.1944,"<1H OCEAN"
107,-122.74,38.46,9,2268,594,1311,585,2.6607,"<1H OCEAN"
108,-121.5,38.56,46,2646,645,1684,616,1.128,"INLAND"
109,-122.21,37.79,34,2364,557,1517,516,2.8365,"NEAR BAY"
110,-116.31,33.67,15,2214,410,1152,350,2.9187,"INLAND"
111,-122.35,37.56,52,1659,191,519,201,14.4219,"NEAR OCEAN"
112,-117.04,32.79,23,2491,350,863,348,6.7196,"<1H OCEAN"
113,-117.84,35.35,28,1913,486,858,371,1.9962,"INLAND"
114,-117.31,34.44,10,1731,299,1056,312,3.6007,"INLAND"
115,-118.1,34.18,47,2168,352,902,361,5.894,"INLAND"
116,-122.04,36.95,27,1987,374,961,343,3.9667,"NEAR OCEAN"
117,-117.87,34.15,24,5745,735,2061,679,8.2827,"INLAND"
118,-118.13,34.02,36,984,275,1024,284,2.125,"<1H OCEAN"
119,-122.01,36.97,35,1605,392,743,382,2.5368,"NEAR OCEAN"
120,-121.89,37.34,46,1197,416,898,370,2.1714,"<1H OCEAN"
121,-117.17,32.71,39,311,181,206,113,0.7685,"NEAR OCEAN"
122,-121.75,39.88,16,2867,559,1203,449,2.7143,"INLAND"
123,-121.95,37.26,34,1482,255,584,246,5.5121,"<1H OCEAN"
124,-117.37,34,36,730,155,476,142,2.4306,"INLAND"
125,-120.9,38.2,16,3120,641,1319,526,2.0472,"INLAND"
126,-118.41,34.14,33,778,143,258,130,5.738,"<1H OCEAN"
127,-118.33,33.91,35,1092,302,962,297,3.5903,"<1H OCEAN"
128,-122.41,37.66,37,2155,446,1255,428,3.8438,"NEAR OCEAN"
129,-117.13,32.72,32,2197,623,1784,599,1.901,"NEAR OCEAN"
130,-118.13,34.2,45,1213,206,529,231,5.6629,"INLAND"
131,-119.69,34.42,17,1826,544,1325,532,1.2762,"<1H OCEAN"
132,-119.2,34.25,25,195,59,140,43,3.8889,"NEAR OCEAN"
133,-121.92,36.56,39,2144,538,749,419,2.7039,"NEAR OCEAN"
134,-119.78,34.45,23,2077,306,705,256,6.4744,"NEAR OCEAN"
135,-117.9,33.68,25,7060,1159,3903,1139,4.8359,"<1H OCEAN"
136,-122.13,37.69,17,2380,769,1216,643,3.395,"NEAR BAY"
137,-122.09,37.68,43,1415,348,569,293,2.5156,"NEAR BAY"
138,-122.38,37.59,44,2089,348,837,317,4.6628,"NEAR OCEAN"
139,-119.27,35.5,34,1367,329,796,319,2.8269,"INLAND"
140,-118.38,33.87,21,4151,1018,2054,925,4.9821,"<1H OCEAN"
141,-118.37,33.86,28,2685,581,1243,529,4.119,"<1H OCEAN"
142,-116.21,33.66,19,1596,295,1201,282,3.8846,"INLAND"
143,-116.22,33.74,26,4120,858,2918,815,3.3107,"INLAND"
144,-118.5,34.25,32,2333,389,969,331,4.8164,"<1H OCEAN"
145,-120.28,38.03,13,2095,391,860,331,3.6838,"INLAND"
146,-118.26,33.97,46,1521,352,1100,334,1.55,"<1H OCEAN"
147,-122.57,37.98,49,2860,552,1178,522,4.625,"NEAR BAY"
148,-117.2,34.5,10,4201,850,2378,808,2.1781,"INLAND"
149,-118.34,33.86,36,2223,360,1162,376,5.259,"<1H OCEAN"
150,-122.27,37.45,41,830,136,353,153,6.3824,"NEAR OCEAN"
151,-118.15,34.09,52,2203,430,1238,403,4.4306,"<1H OCEAN"
152,-118.11,34.02,17,9559,1911,5279,1844,5.1515,"<1H OCEAN"
153,-121.29,37.98,42,625,143,533,159,2.625,"INLAND"
154,-122.01,37.83,30,3917,549,1330,544,6.5617,"NEAR BAY"
155,-122.07,37.39,19,1465,342,646,345,4.712,"NEAR BAY"
156,-123.08,41.26,34,2773,679,1066,424,1.6757,"INLAND"
157,-117.66,34.09,26,1151,200,593,188,3.6667,"INLAND"
158,-117.95,33.63,27,891,183,513,171,6,"<1H OCEAN"
159,-118.29,34.11,30,2774,570,1076,580,5.296,"<1H OCEAN"
160,-120.61,35.12,12,3430,793,1840,720,2.9821,"<1H OCEAN"
161,-118.07,33.88,17,2407,539,1422,524,4.2619,"<1H OCEAN"
162,-117.88,33.85,25,1234,351,507,285,2.3173,"<1H OCEAN"
163,-118.35,34.15,52,1680,238,493,211,9.042,"<1H OCEAN"
164,-118.13,34.02,43,396,91,261,73,2.9044,"<1H OCEAN"
165,-117.88,33.84,31,3301,712,1532,682,3.7303,"<1H OCEAN"
166,-120.94,37.58,19,1549,369,770,370,2.0493,"INLAND"
167,-121.48,38.53,43,1378,280,708,280,2.3542,"INLAND"
168,-122.42,37.62,43,2367,409,1141,400,4.8295,"NEAR OCEAN"
169,-117.38,34,45,2881,514,1470,515,3.3687,"INLAND"
170,-121.77,37.31,16,1649,228,769,230,6.6455,"<1H OCEAN"
171,-122.29,37.92,35,583,88,235,84,5.943,"NEAR BAY"
172,-122.36,37.93,17,1258,254,885,229,3.05,"NEAR BAY"
173,-118.16,35.05,44,1297,307,776,278,2.5875,"INLAND"
174,-118.17,34.67,5,8352,1555,3723,1389,4.5659,"INLAND"
175,-117.92,33.91,33,2868,382,1204,412,6.1825,"<1H OCEAN"
176,-118.39,33.84,16,2472,572,965,529,5.137,"<1H OCEAN"
177,-117.21,32.86,16,2800,566,1267,518,3.2794,"NEAR OCEAN"
178,-117.1,32.68,42,2013,568,1920,557,2.0724,"NEAR OCEAN"
179,-118.71,34.3,23,1983,280,978,287,6.3199,"<1H OCEAN"
180,-122.26,37.88,52,2363,604,1558,573,2.944,"NEAR BAY"
181,-117.37,33.98,52,201,44,130,24,2.025,"INLAND"
182,-118.03,34.08,42,1597,373,1311,352,2.9688,"INLAND"
183,-118.08,33.89,28,1035,275,1545,269,3.0357,"<1H OCEAN"
184,-122.65,38.96,27,2143,580,898,367,1.6769,"INLAND"
185,-117.95,33.66,26,1787,227,639,224,6.8226,"<1H OCEAN"
186,-117.92,34.06,34,2819,609,1718,558,3.5547,"<1H OCEAN"
187,-117.98,33.73,22,4232,624,2408,660,6.6539,"<1H OCEAN"
188,-118.2,34.06,40,1181,335,1441,337,2.1136,"<1H OCEAN"
189,-120.1,36.96,20,2100,317,910,274,4.8187,"INLAND"
190,-121.44,38.48,12,4929,1010,2621,870,2.7262,"INLAND"
191,-117.23,32.78,35,1649,355,746,360,4.6293,"NEAR OCEAN"
192,-121.41,39.04,16,1698,300,731,291,3.0739,"INLAND"
193,-118.44,34,41,1562,377,874,368,4.1083,"<1H OCEAN"
194,-118.11,33.8,36,1837,319,810,305,4.3897,"<1H OCEAN"
195,-117.91,33.64,38,2222,542,1067,512,2.8553,"<1H OCEAN"
196,-121.59,37.02,14,6355,1279,3704,1224,4.4233,"INLAND"
197,-121.87,37.33,37,3137,685,2048,651,3.0156,"<1H OCEAN"
198,-122.53,37.5,19,4768,807,2199,805,6.1896,"NEAR OCEAN"
199,-121.54,39.13,18,4289,1021,2707,939,1.3375,"INLAND"
200,-118.35,34.02,34,5218,1576,3538,1371,1.5143,"<1H OCEAN"
201,-117.87,33.87,7,2663,642,1367,677,4.6563,"<1H OCEAN"
202,-118.41,34.02,16,5825,1866,3390,1752,3.0965,"<1H OCEAN"
203,-117.98,33.76,23,1553,518,1988,474,2.1375,"<1H OCEAN"
204,-116.05,33.33,17,290,94,135,57,1.7292,"INLAND"
205,-118.04,33.75,16,3757,650,1291,614,5.2001,"<1H OCEAN"
206,-121.89,37.25,23,2705,449,1180,442,6.0791,"<1H OCEAN"
207,-117.97,33.81,30,2406,462,1753,456,4.485,"<1H OCEAN"
208,-117.07,32.57,14,1527,357,1224,363,2.7361,"NEAR OCEAN"
209,-121.71,38.56,20,8627,1516,4071,1466,4.2198,"INLAND"
210,-121.99,36.96,42,1275,272,451,200,4.7321,"NEAR OCEAN"
211,-122,36.97,30,1029,242,753,249,3.1205,"NEAR OCEAN"
212,-118.4,34.03,13,6152,1978,3397,1845,3.4058,"<1H OCEAN"
213,-118.15,34.02,43,2172,605,2386,597,2.8239,"<1H OCEAN"
214,-122.06,37.34,20,3435,593,1293,553,6.7578,"<1H OCEAN"
215,-118.26,34.23,43,1428,325,836,302,4.5759,"<1H OCEAN"
216,-118.31,34.05,42,443,223,582,223,2.2937,"<1H OCEAN"
217,-117.66,34.06,24,4043,952,2174,859,2.2244,"INLAND"
218,-121.2,38.67,26,1546,287,773,299,2.9803,"INLAND"
219,-118.43,34.14,44,1693,239,498,216,10.9237,"<1H OCEAN"
220,-116.99,32.85,32,5211,949,3025,948,4.0931,"<1H OCEAN"
221,-117.14,32.93,16,2412,419,1612,422,4.5086,"<1H OCEAN"
222,-118.04,33.8,33,2685,466,1359,476,5.0261,"<1H OCEAN"
223,-118.25,34.1,42,4198,956,1935,878,3.7184,"<1H OCEAN"
224,-117.91,33.86,26,2296,570,1415,527,2.4732,"<1H OCEAN"
225,-117.11,32.97,9,1531,242,850,240,6.0862,"<1H OCEAN"
226,-122.41,37.77,52,1963,565,1628,524,2.6083,"NEAR BAY"
227,-120.95,37.67,15,3062,584,1624,538,4.3864,"INLAND"
228,-118.19,33.95,41,1368,309,1244,312,3.0833,"<1H OCEAN"
229,-120.65,36.98,26,1787,364,1548,362,1.7188,"INLAND"
230,-122.47,37.85,19,1926,593,881,546,2.9145,"NEAR BAY"
231,-122.26,37.87,52,2773,998,1721,949,1.1859,"NEAR BAY"
232,-117.92,33.91,27,2558,310,891,316,9.5561,"<1H OCEAN"
233,-117.69,33.6,19,3562,439,1584,470,6.4211,"<1H OCEAN"
234,-121.65,36.7,29,4964,1056,2773,1036,3.0827,"<1H OCEAN"
235,-117.61,33.67,3,4541,720,1600,583,6.8004,"<1H OCEAN"
236,-117.23,33.91,9,11654,2100,7596,2127,4.0473,"INLAND"
237,-117.13,32.81,19,2157,554,1349,535,2.7652,"NEAR OCEAN"
238,-121.83,37.27,8,4454,1058,2595,1027,4.5615,"<1H OCEAN"
239,-122.13,37.68,45,2457,445,1129,422,4.0588,"NEAR BAY"
240,-121.33,37.97,43,1511,292,721,320,3.5703,"INLAND"
241,-122.7,38.44,45,883,202,401,194,3.2845,"<1H OCEAN"
242,-117.4,34.06,17,5451,1008,3533,940,3.9191,"INLAND"
243,-119.17,34.27,24,4165,646,2194,658,6.0661,"NEAR OCEAN"
244,-121.43,38.65,18,909,198,661,176,3.1696,"INLAND"
245,-121.88,37.68,23,2234,270,854,286,7.333,"INLAND"
246,-117.77,33.53,32,3116,661,1105,543,5.1837,"<1H OCEAN"
247,-122.45,37.91,27,2682,382,935,369,10.0791,"NEAR BAY"
248,-118.3,33.79,13,3569,924,2159,880,3.163,"<1H OCEAN"
249,-118.35,34.05,52,1971,414,1065,409,3.6435,"<1H OCEAN"
250,-120.43,36.18,29,579,116,218,99,2.1458,"INLAND"
251,-118.08,34.04,20,5841,1146,3273,1131,4.7222,"<1H OCEAN"
252,-122.17,39.92,16,1566,306,652,287,1.9038,"INLAND"
253,-122.42,37.79,52,2511,895,1202,804,2.6607,"NEAR BAY"
254,-118.42,34.28,29,1271,272,1338,266,4.125,"<1H OCEAN"
255,-115.53,32.73,14,1527,325,1453,332,1.735,"INLAND"
256,-122.74,38.44,17,2287,497,1240,493,3.5845,"<1H OCEAN"
257,-122.28,37.82,52,945,243,576,220,1.4113,"NEAR BAY"
258,-118.18,34.03,26,859,255,835,232,1.1929,"<1H OCEAN"
259,-120.2,34.61,15,2958,690,1348,617,3.8582,"NEAR OCEAN"
260,-118.19,33.8,38,2010,595,1535,525,1.9848,"NEAR OCEAN"
261,-118.28,34.06,52,1261,616,2309,581,1.6184,"<1H OCEAN"
262,-117.98,33.83,17,3506,992,2104,893,3.3006,"<1H OCEAN"
263,-118.66,34.23,18,897,142,263,110,6.1288,"<1H OCEAN"
264,-117.66,33.61,16,2022,254,789,270,8.4112,"<1H OCEAN"
265,-118.31,33.96,47,1586,322,1077,339,4.4861,"<1H OCEAN"
266,-118.13,34.09,42,2562,781,1936,687,2.2214,"<1H OCEAN"
267,-118.35,34.1,18,4109,1301,2103,1116,2.325,"<1H OCEAN"
268,-117.77,33.67,12,4329,1068,1913,978,4.5094,"<1H OCEAN"
269,-122.22,37.84,50,2935,473,1031,479,7.5,"NEAR BAY"
270,-122.26,37.45,17,2742,441,986,421,5.9285,"NEAR OCEAN"
271,-117.08,32.74,33,3260,673,1784,666,3.5078,"NEAR OCEAN"
272,-117.75,33.64,9,2499,492,1111,542,5.5342,"<1H OCEAN"
273,-121.45,38.58,44,2314,415,796,388,3.4914,"INLAND"
274,-114.61,34.83,31,2478,464,1346,479,3.212,"INLAND"
275,-118.12,33.95,36,2752,459,1211,452,5.0526,"<1H OCEAN"
276,-122.43,37.78,2,1205,468,577,363,3.6437,"NEAR BAY"
277,-121.44,38.53,37,1951,432,1089,411,2.3272,"INLAND"
278,-122.24,37.48,47,2423,407,1010,407,6.2154,"NEAR OCEAN"
279,-117.94,33.88,46,1747,312,770,296,5.4217,"<1H OCEAN"
280,-118.23,34.15,19,2294,716,1686,680,3.0288,"<1H OCEAN"
281,-122.22,37.8,52,2183,465,1129,460,3.2632,"NEAR BAY"
282,-116.17,33.66,22,639,203,664,153,1.9306,"INLAND"
283,-122.24,37.83,41,2576,406,794,376,5.956,"NEAR BAY"
284,-118.36,33.8,38,2553,400,1042,393,6.9742,"NEAR OCEAN"
285,-122.03,37.95,32,1955,313,804,317,4.9485,"NEAR BAY"
286,-122.69,38.44,31,1808,315,691,280,3.8583,"<1H OCEAN"
287,-117.89,33.66,33,3595,785,1621,732,4.1372,"<1H OCEAN"
288,-121.59,39.78,18,945,205,385,207,2.1838,"INLAND"
289,-118.44,34.26,34,1102,212,949,212,4.0792,"<1H OCEAN"
290,-118.64,34.22,25,2762,410,1166,439,6.8643,"<1H OCEAN"
291,-116.54,33.87,16,3648,1035,1687,581,1.9167,"INLAND"
292,-117.67,33.6,20,1213,171,565,170,7.2592,"<1H OCEAN"
293,-117.71,33.6,25,3011,714,893,654,2.3387,"<1H OCEAN"
294,-122.46,37.64,17,3523,669,2150,666,4.5938,"NEAR OCEAN"
295,-119.73,36.8,24,1316,249,781,260,3.7578,"INLAND"
296,-122.27,37.78,52,1408,280,718,265,2.6806,"NEAR BAY"
297,-117.01,32.67,17,2319,348,1125,337,5.551,"NEAR OCEAN"
298,-117.04,32.71,28,5274,991,3727,961,3.57,"NEAR OCEAN"
299,-116.77,33.92,19,2307,525,1266,437,1.6875,"INLAND"
300,-120.57,37.35,18,704,176,520,154,3.003,"INLAND"
301,-115.49,32.69,17,1960,389,1691,356,1.899,"INLAND"
302,-117.96,34.71,32,3511,646,1733,510,3.46,"INLAND"
303,-117.22,34.13,10,5951,1330,3204,1159,2.7011,"INLAND"
304,-118.35,33.93,33,2040,576,2649,561,2.3375,"<1H OCEAN"
305,-119.36,36.21,25,1170,259,804,257,1.3889,"INLAND"
306,-122.32,37.52,17,6645,1034,2557,1032,6.3892,"NEAR OCEAN"
307,-118.04,33.98,25,3040,831,1580,735,2.3182,"<1H OCEAN"
308,-120.5,38.87,10,81,41,55,16,4.9583,"INLAND"
309,-122.01,37.39,36,1976,361,1348,371,5.6447,"<1H OCEAN"
310,-118.1,33.92,35,2017,383,1388,386,4.0774,"<1H OCEAN"
311,-119.01,35.38,36,790,224,426,208,1.4427,"INLAND"
312,-117.95,33.68,27,1732,303,1115,308,5.5312,"<1H OCEAN"
313,-118.17,33.87,48,2258,509,1395,492,3.765,"<1H OCEAN"
314,-120.99,39.13,14,770,116,285,116,3.6434,"INLAND"
315,-121.31,38.66,26,1604,245,751,267,4.7381,"INLAND"
316,-118.2,33.9,33,1435,322,1298,299,2.7813,"<1H OCEAN"
317,-118.45,34.15,20,3876,799,1334,753,4.5656,"<1H OCEAN"
318,-117.27,32.98,17,1853,392,351,208,5.2742,"NEAR OCEAN"
319,-118.36,34.05,47,1424,300,632,278,4.0625,"<1H OCEAN"
320,-122.1,37.67,34,3659,897,2479,903,2.9564,"NEAR BAY"
321,-121.79,37.31,22,2199,361,1270,386,5.1149,"<1H OCEAN"
322,-117.94,34.08,35,2393,417,1336,418,4.87,"<1H OCEAN"
323,-120.14,36,33,1726,420,1371,388,2.0335,"INLAND"
324,-117.89,33.92,14,1562,373,609,328,2.3935,"<1H OCEAN"
325,-118.34,33.84,36,1407,231,676,231,5.269,"<1H OCEAN"
326,-116.99,32.96,17,5509,866,2748,817,4.8854,"<1H OCEAN"
327,-121.38,38.67,37,2176,460,1067,357,2.3958,"INLAND"
328,-122.43,37.75,52,2285,509,839,456,4.7946,"NEAR BAY"
329,-119.82,37.57,13,1713,340,643,241,2.662,"INLAND"
330,-121.76,37.23,16,4274,715,2240,704,5.4218,"<1H OCEAN"
331,-117.63,33.62,9,4257,785,1293,745,3.7139,"<1H OCEAN"
332,-121.22,37.8,37,1038,222,521,211,2.125,"INLAND"
333,-117.92,34.1,33,1921,397,1492,393,4.375,"<1H OCEAN"
334,-121.94,37.95,18,2541,355,986,346,7.1978,"INLAND"
335,-117.82,33.73,23,2542,772,1720,675,3.8703,"<1H OCEAN"
336,-117.08,33.12,37,1060,268,823,229,1.8363,"<1H OCEAN"
337,-120.47,37.29,16,749,222,1277,224,1.2054,"INLAND"
338,-119.75,36.87,3,13802,2244,5226,1972,5.0941,"INLAND"
339,-117.97,33.99,22,5284,982,2613,932,4.7332,"<1H OCEAN"
340,-118.34,33.99,34,397,132,250,121,1.675,"<1H OCEAN"
341,-122.3,37.9,30,1772,471,880,437,2.2672,"NEAR BAY"
342,-117.24,34.04,4,4289,682,1981,705,5.3366,"INLAND"
343,-118.45,34.26,35,1724,311,992,315,4.8359,"<1H OCEAN"
344,-122.43,37.73,52,1386,276,729,274,3.6694,"NEAR BAY"
345,-122.08,37.4,19,3565,858,1639,744,4.1544,"NEAR BAY"
346,-122.29,38.4,28,2024,340,844,309,4.7833,"INLAND"
347,-121.76,36.75,21,1141,257,671,195,3.8424,"<1H OCEAN"
348,-120.12,41.4,33,2820,515,976,403,2.6062,"INLAND"
349,-121.3,38.03,10,1409,248,782,222,4.0227,"INLAND"
350,-118.04,33.97,29,2376,700,1968,680,2.6082,"<1H OCEAN"
351,-119.83,36.77,23,2168,503,1190,425,2.625,"INLAND"
352,-124.17,40.8,52,1557,344,758,319,1.8529,"NEAR OCEAN"
353,-117.12,32.76,26,1221,331,620,296,2.4821,"NEAR OCEAN"
354,-121.18,39.26,14,811,161,352,121,3.5938,"INLAND"
355,-118.14,33.76,50,914,167,322,165,4.7361,"NEAR OCEAN"
356,-118.38,34.18,32,3553,1060,3129,1010,2.5603,"<1H OCEAN"
357,-117.3,34.24,38,4116,949,1196,422,3.5625,"INLAND"
358,-124.09,40.88,50,921,187,420,187,2.2188,"NEAR OCEAN"
359,-118.47,34.01,43,1160,304,393,250,2.9167,"<1H OCEAN"
360,-118.08,33.82,26,4259,588,1644,581,6.2519,"<1H OCEAN"
361,-122.47,37.69,35,1720,421,1452,425,3.5909,"NEAR OCEAN"
362,-118.39,34.08,52,1244,304,444,282,3.5114,"<1H OCEAN"
363,-118.02,34.12,37,2250,360,989,329,6.1536,"INLAND"
364,-118.35,34.1,18,7432,2793,3596,2270,2.8036,"<1H OCEAN"
365,-116.22,33.73,38,1695,352,1279,305,2.1217,"INLAND"
366,-117.83,33.77,26,4931,853,2249,818,4.275,"<1H OCEAN"
367,-118.9,34.2,16,6510,817,2304,778,7.9943,"<1H OCEAN"
368,-117.69,34.13,8,2915,371,1271,354,7.9627,"INLAND"
369,-122.68,38.36,8,7520,1336,3833,1287,4.3278,"<1H OCEAN"
370,-117.03,32.79,26,3859,513,1469,538,5.8683,"<1H OCEAN"
371,-119.8,36.71,29,1541,291,1007,313,2.0043,"INLAND"
